ID,latitude,longitude,sat,dist
1,-5.222884232075968,-56.36790011115559,ST1,0.00
2,-5.792811156689235,-63.019007915242796,ST3,738.87
3,-5.149657020008053,-51.91052696543251,ST1,493.67
4,-7.3431385799551006,-53.203047640785606,ST5,421.82
5,-9.277483565776443,-64.38706142824789,ST3,992.65
6,-2.3583108838552524,-59.0766613466984,ST1,437.91
7,-2.601645416833091,-60.20139200040762,ST4,515.54
8,-9.713195343932812,-69.42369352820894,ST4,1523.15
9,-5.907207644048555,-58.20189059015934,ST4,216.76
10,-2.84237492658166,-56.34344046849705,ST5,264.71
11,-4.194685708582874,-56.92914013572662,ST4,130.15
12,-1.6648598212731418,-65.22694561048093,ST5,1059.76
13,-4.144035475052945,-59.872649691689965,ST5,406.51
14,-9.530378959316009,-55.62643721616592,ST2,485.90
15,-4.488011110633588,-68.83102944570159,ST5,1383.25
16,-3.2840150319009354,-61.62292874241622,ST3,621.30
17,-6.515490827684696,-53.93868921881192,ST3,304.72
18,-3.0064525665156383,-53.60624332510498,ST1,393.12
19,-8.379229819609277,-58.15580898080644,ST3,402.66
20,-5.322643700251354,-63.312664980895356,ST5,769.03
21,-5.014894277315326,-55.06896634234642,ST3,145.71
22,-1.6890918430258974,-67.80279290890323,ST4,1328.42
23,-9.610318711664725,-61.50699680736746,ST2,747.63
24,-9.570240186925037,-64.72643491015785,ST2,1040.55
25,-9.439151914911733,-62.09991966506419,ST5,786.91
26,-3.2521044747690375,-61.07416297551037,ST5,566.00
27,-2.5311319879065506,-65.99392970300013,ST4,1108.97
28,-6.7015603695417365,-59.43046730365441,ST1,376.49
29,-7.674473672764224,-57.28553284733371,ST2,290.85
30,-9.376549604612544,-51.395540848176395,ST2,716.90
31,-7.273252917798709,-51.39629162095389,ST3,594.92
32,-7.669642157903577,-59.827466453018104,ST3,469.16
33,-9.341782415298912,-55.34808562739477,ST4,471.61
34,-9.721161116877154,-63.0644951866952,ST3,891.61
35,-6.756355348341104,-53.833037449482305,ST1,328.10
36,-3.319750999462637,-59.712945087206016,ST3,427.02
37,-2.850279401521929,-57.541707327580376,ST2,294.20
38,-8.298659660544722,-67.6081308451343,ST3,1287.25
39,-8.700313957243278,-52.12472443015848,ST1,607.28
40,-1.4959439893064808,-67.19349809314399,ST5,1270.93
41,-5.524810324203707,-69.21330161584763,ST5,1422.43
42,-9.097820421476957,-61.16977625158945,ST3,682.79
43,-5.505424564013316,-57.60973218070821,ST3,141.02
44,-2.046361698394037,-61.430312691291746,ST5,663.53
45,-8.654955051385919,-68.1633501437558,ST2,1356.54
46,-2.386771943766269,-64.00293238399496,ST3,903.82
47,-9.662186336476266,-54.536815201445236,ST2,533.30
48,-8.955686491462506,-55.95960362516181,ST5,417.51
49,-3.745962339704109,-69.02951380546934,ST5,1413.12
50,-7.248263733349255,-55.22498429662835,ST2,258.22
51,-7.435331061093864,-61.96603866905142,ST4,665.77
52,-4.004080634070448,-59.13909647929459,ST4,335.71
53,-8.16702173361732,-69.0402630378146,ST2,1437.08
54,-6.17031075619415,-54.79570471412363,ST4,203.37
55,-9.934117500901236,-66.3813057528925,ST5,1221.41
56,-4.791898206693924,-56.4596405441242,ST4,48.99
57,-3.923204701904117,-58.75064098093011,ST3,301.05
58,-1.7556900406627705,-57.771862062657675,ST5,415.82
59,-5.824791907402514,-67.85035002576161,ST4,1272.60
60,-7.980554427986066,-69.55002287659444,ST4,1487.82
61,-6.9641718256287,-69.07997572291872,ST2,1418.72
62,-2.7437591707325515,-64.64569577650893,ST5,958.64
63,-3.274598322203765,-67.9329079854806,ST1,1300.53
64,-4.116508556784052,-58.36022223545915,ST4,252.76
65,-7.554914893539962,-64.85365812999305,ST1,972.83
66,-8.365329337240247,-65.88565878238731,ST4,1107.32
67,-1.6734861800867087,-53.39231385621888,ST5,514.60
68,-9.793174958787692,-63.38813440560876,ST1,925.67
69,-7.839370699334127,-66.00423775445333,ST3,1103.49
70,-8.522453330087583,-58.02449135957615,ST4,409.94
71,-1.5109095490488418,-53.21713292449465,ST3,540.96
72,-5.455125347116357,-57.18384265624852,ST5,93.95
73,-6.5151544714009875,-66.47794808321726,ST3,1127.45
74,-2.240067555521952,-54.77177552166707,ST5,375.99
75,-5.08258778441292,-68.09853737606095,ST5,1299.19
76,-9.76051245987786,-61.59991022434121,ST3,766.23
77,-9.747781559599018,-59.82136803266737,ST5,630.90
78,-7.389980361756599,-53.98669676242776,ST4,356.82
79,-8.046200635715458,-64.67696617339057,ST1,969.85
80,-1.5579810077958935,-63.951199545633884,ST5,935.07
81,-1.9878400099424205,-64.14729484743624,ST2,935.15
82,-3.041212807565766,-57.81376984316456,ST5,290.79
83,-4.663016120703464,-60.61612047990717,ST1,474.72
84,-6.250850700583946,-60.25685437856825,ST3,445.18
85,-4.794138685517307,-66.23745536400867,ST1,1094.28
86,-3.117220314187283,-68.84385469897417,ST4,1403.17
87,-5.877073409728053,-63.25235841268206,ST4,765.38
88,-8.660863757665048,-58.96058878093889,ST1,477.51
89,-8.596683618204766,-61.1885128292306,ST5,651.01
90,-6.1381790614309235,-63.660453082296506,ST2,813.29
91,-4.595540363390823,-66.34303503893078,ST3,1107.30
92,-6.687140019461463,-68.34762882551414,ST3,1334.80
93,-4.871771005339254,-68.07330489925697,ST1,1297.10
94,-2.9433969545753715,-58.418993861681535,ST5,340.58
95,-8.412343059015798,-58.04034159595997,ST2,399.83
96,-5.58154164529119,-60.00483983391339,ST5,404.58
97,-10.054785353536042,-60.07602351382393,ST3,674.96
98,-1.556572242166057,-55.73263496479328,ST4,413.73
99,-4.786537075690291,-68.48451399181023,ST4,1343.02
100,-1.4581656147343764,-51.45049911163848,ST2,687.82

25843,-3.901485632724823,-56.93787983558916,ST3,159.94
25844,-3.4483500860817875,-53.434360938297246,ST5,380.42
25845,-2.0431511770179025,-54.789517104161206,ST1,394.57
25846,-7.617979840800048,-68.25119864920187,ST2,1339.68
25847,-8.590996987094377,-67.76801896766665,ST3,1312.77
25848,-3.37500089098559,-59.761863658423856,ST4,428.76
25849,-3.548406461242741,-57.26943389060971,ST3,211.32
25850,-7.089565048838647,-54.3613247936914,ST4,303.79
25851,-9.332382455390606,-63.60111562633659,ST3,919.25
25852,-4.79525703652547,-64.62567744338268,ST2,915.94
25853,-9.947643458489681,-64.65831726769608,ST5,1053.80
25854,-3.693229088977951,-61.55839871040407,ST5,600.01
25855,-8.168503879692928,-56.99557392166235,ST5,334.79
25856,-4.8367767316269346,-57.81963186585675,ST1,166.44
25857,-6.609909093048406,-61.34671443068765,ST1,571.85
25858,-8.024426671054664,-62.76173400978253,ST3,771.80
25859,-7.81084005425471,-62.71832831170371,ST2,758.24
25860,-2.516027668964962,-55.87892139295012,ST2,305.84
25861,-3.3455653565190877,-52.91681153997702,ST4,435.89
25862,-4.467717375025424,-56.14342945301627,ST3,87.58
25863,-6.897683760112342,-61.65119321727954,ST4,613.13
25864,-5.871797842777326,-61.54181196203476,ST5,577.14
25865,-4.410636241999012,-56.23668672693402,ST2,91.48
25866,-7.152272507988444,-62.462953902826555,ST3,707.09
25867,-9.78784205145123,-68.34743150834069,ST5,1414.46
25868,-4.945404643942279,-68.82368875290183,ST1,1379.89
25869,-2.677692219863859,-56.58748084234837,ST2,284.06
25870,-9.928525620221206,-59.34117412563958,ST2,617.35
25871,-5.7564386012870505,-56.54069679268924,ST3,62.34
25872,-7.394119752742029,-57.089301074288414,ST2,254.25
25873,-5.986691476730819,-61.64259412050214,ST2,589.86
25874,-2.4648274442342455,-68.03417324425483,ST1,1330.02
